Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-QXCU-0008-SM-48FCH	0	0.000754913241636232	0	0	0.04447583821092	0.0316236248368465	0	0	0	0	0.0108378707233523	0	0.00222678382127045	0.0261082306637059	0	0	0	0.0251743945356809	0	0.00289834396658765	0	0	0.468	0.0186615239417545	1.11086312180033	0.1441
GTEX-R3RS-0008-SM-48FF1	0	0.00223919081385543	0	0	0.0499019805071527	0.0399337105905975	0	0	0	0	0.0250435283545181	0	0	0.0878642998356125	0	0	0	0.0469100221361202	0	0.0474572677621436	0	0	0.304	0.0455021810313213	1.09404208016879	0.29935
GTEX-R45C-0008-SM-48FF2	0	0	0	0	0.0606809028157295	0.0446783628105171	0	0	0	0	0.018686544520501	0	0.00236548709137039	0.0553154200060081	0	0	0	0.0660376183394238	0	0.02438566441645	0	0	0.646	-0.000227565279033242	1.11252727916761	0.27215
GTEX-R53T-0008-SM-48FEW	0	0.000466534931433741	0	0	0.0640565210995204	0.0265049403883539	0	0	0	0	0.0248468356817088	0	0.00313001006707753	0.0297053907590186	0	0	0	0.00469548066243606	0	0.012644286410451	0	0	0.909	-0.0251838391560926	1.13606875288648	0.16605
GTEX-R55C-0008-SM-48FCF	0	0	0	0	0.044403266849877	0.026847934192574	0	0	0	0	0.017634111101485	0	0	0.0552066516938707	0	0	0	0.0292880801975114	0	0.0187699559646819	0	0	0.381	0.0326736497701171	1.09755961737452	0.19215
GTEX-R55D-0008-SM-48FEV	0	0	0	0	0.0472370458378794	0.0409702901945935	0	0	0	0	0.0163944411336393	0	0.000926631677466224	0.0261721987969732	0	0.0022618361602468	0	0.0590406509521386	0	0.00834690524706294	0	0	0.943	-0.0310562239751024	1.13535863705707	0.20135
GTEX-R55E-0008-SM-48FCG	0	0.0030610862945139	0	0	0.0387511941895551	0.0269923488636688	0	0	0	0	0.0091657087101502	0	0.00160389201963767	0.032071439725292	0	0	0	0.0551916715741944	0	0.000562658622987904	0	0	0.664	-0.00207471166179329	1.12865985466728	0.1674
GTEX-R55G-0008-SM-48FEX	0	0.00323371209536567	0	0	0.0515655728302918	0.0300604845878608	0	0	0	0	0.0164268654961529	0	0.00201280446168282	0.030326484406543	0	0	0	0.0613734553792584	0	0.00700062074284465	0	0	0.942	-0.030804273750983	1.13400431612365	0.202
GTEX-RM2N-0008-SM-48FF3	0	0	0	0	0.0143428844619825	0.0544083966479834	0	0	0	0	0.0297124000612128	0	0.00591035178848542	0.0392985706529379	0.000304297991956618	0	0	0.000430312924080718	0	0.0402427854713606	0	0	0.401	0.0297441093567698	1.10947203406936	0.18465
GTEX-RN64-0008-SM-48FEZ	0	0	0	0	0.0710041410607278	0.0262779289327222	0	0	0	0	0.0256557771913398	0	0	0.0323163040805977	0	0	0	0.00852350598771788	0	0.0137723427468945	0	0	0.817	-0.0164079332831838	1.13340856539726	0.17755
GTEX-RNOR-0008-SM-48FEY	0.000116353997189242	0	0	0	0.0273714948198463	0.0593409437922056	0	0	0.0218695500261925	0	0.027082867187948	0.00775099651060452	0.0148503162640377	0.0198909553738323	0.00201038863270249	0	0	0	0	0.00951613339544127	0	0	0.689	-0.00466454987084457	1.12981245892376	0.1898
GTEX-RTLS-0008-SM-48FET	0.0034608187471175	0	0	0	0.0161220275359581	0.0550824695505414	0	0	0	0	0.0218690074559697	0	0	0.0539533446564244	0	0	0	0.0555158611639905	0	0.0214964708899985	0	0	0.443	0.0219668038668212	1.10157343030607	0.2275
GTEX-RU1J-0008-SM-46MV9	0.00351247143344464	0	0	0.0195652118501745	0.0646720126661133	0.0384881016589039	0	0	0	0	0.0170940886560186	0	0.00870575194911826	0.0283320599234103	0	0	0	0.0982645603705798	0	0.0225375732500213	0	0.00432816824221547	0.821	-0.0166565706314646	1.12654161556337	0.3055
GTEX-RU72-0008-SM-46MV8	0.00816752252334264	0	0	0	0.00769836067715994	0.10515418983086	0	0	0	0	0.011093481764176	0.0166376337887087	0.0194510533774057	0.017283964084071	0.00215056498947974	0	0	0	0.0169632289647966	0	0	0	0.427	0.0248051827024582	1.10690391374296	0.2046
GTEX-RVPV-0008-SM-47JYW	0.0219971393929354	0	0	0	0.0228364673661739	0.0910943377399125	0	0	0	0	0.0103287827968316	0	0.00844957238869576	0.0225906393983486	0	0	0	0.03484877626466	0	0.0210542846524422	0	0	0.613	0.00328100572384063	1.10133349417132	0.2332
GTEX-RWS6-0008-SM-47JYV	0.0600443569902089	0	0	0.0110407137075235	0.0211938939543847	0.0398602677312124	0	0	0.0087657490875051	0	0.0301918393964599	0	0.0118112341542381	0.0330015825587222	0	0.00123157663856126	0	0.00354264033888549	0	0.0152814327593907	0	0.0139847126829077	0.961	-0.0348309623168206	1.11641659048806	0.24995
GTEX-RWSA-0008-SM-47JYX	0	0.00916560552865596	0	0.00968537993479766	0.0559359628273817	0.0230673759950211	0	0	0	0	0.0247506715498456	0	0.0137750281729938	0.045116053270529	0	0	0	0.0111541725012064	0	0.0118979857094939	0	0.00145176451007486	0.431	0.0240439913010035	1.09135904086795	0.206
GTEX-S33H-0008-SM-4AD6C	0.00384212400253854	0	0.00502767487701656	0	0.0750936249471954	0.0429062967747662	0	0	0	0	0.0168807833026685	0	0.00805370156701496	0.00786730097304769	0	0	0	0.0116714286916515	0	0.0202070648641007	0	0	0.917	-0.0272907486251465	1.13857701999564	0.19155
GTEX-S341-0008-SM-4AD6D	0	0.00332413705826068	0	0	0.0313752832158249	0.0601552924817331	0	0	0	0	0.0267493688791271	0	0.00536712042057796	0.0527777750250785	0	0	0	0.0717135216408248	0	0.026987501278573	0	0	0.562	0.00708624215059852	1.10538134481634	0.27845
