SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-145LT	23.87	0.0300773516837347	[17.4,31.5]	0.0300773516837347
GTEX-145LU	41.13	0.40299157035889	(37.1,61.6]	0.40299157035889
GTEX-145ME	35.52	0.243235025439014	(31.5,37.1]	0.243235025439014
GTEX-145MG	39.7	0.27891599832245	(37.1,61.6]	0.27891599832245
GTEX-145MH	39.94	0.0714608284729363	(37.1,61.6]	0.0714608284729363
GTEX-145MI	32.81	0.00673179725458951	(31.5,37.1]	0.00673179725458951
GTEX-146FQ	36.06	0.264894492481821	(31.5,37.1]	0.264894492481821
GTEX-146FR	31.24	0.153985199718623	[17.4,31.5]	0.153985199718623
GTEX-14753	36.45	0.260687862994551	(31.5,37.1]	0.260687862994551
GTEX-1477Z	46.17	0.333968596998661	(37.1,61.6]	0.333968596998661
GTEX-147F4	36.6	0.205594625203137	(31.5,37.1]	0.205594625203137
GTEX-147GR	37.84	0.317324796627927	(37.1,61.6]	0.317324796627927
GTEX-148VI	39.26	0.193580137440196	(37.1,61.6]	0.193580137440196
GTEX-148VJ	29.26	0.192326790977033	[17.4,31.5]	0.192326790977033
GTEX-1497J	33.91	0.191779646853798	(31.5,37.1]	0.191779646853798
GTEX-14A5H	23.4	0.125370496302351	[17.4,31.5]	0.125370496302351
GTEX-14A6H	51.32	0.256781175873848	(37.1,61.6]	0.256781175873848
GTEX-14ABY	41.97	0.606330904189698	(37.1,61.6]	0.606330904189698
GTEX-14AS3	51.59	0.452070411837633	(37.1,61.6]	0.452070411837633
GTEX-14ASI	37.52	0.21331307121835	(37.1,61.6]	0.21331307121835
GTEX-14B4R	29.92	0.208216617970857	[17.4,31.5]	0.208216617970857
GTEX-14BIN	35.03	0.481758052685978	(31.5,37.1]	0.481758052685978
GTEX-14BMU	42.74	0.712225551582499	(37.1,61.6]	0.712225551582499
GTEX-14BMV	42.11	0.282150937849315	(37.1,61.6]	0.282150937849315
GTEX-14C38	26.44	0.0551994848469782	[17.4,31.5]	0.0551994848469782
GTEX-14C39	35.19	0.0357018255747742	(31.5,37.1]	0.0357018255747742
GTEX-14C5O	30.09	0.275237098000464	[17.4,31.5]	0.275237098000464
GTEX-14DAQ	40.17	0.36426110698094	(37.1,61.6]	0.36426110698094
GTEX-14E6C	27.7	0.229647235626032	[17.4,31.5]	0.229647235626032
GTEX-14E6E	33.41	0.0396734556755712	(31.5,37.1]	0.0396734556755712
GTEX-14E7W	42.01	0.351816563460135	(37.1,61.6]	0.351816563460135
GTEX-14ICK	27.24	0.172449846914061	[17.4,31.5]	0.172449846914061
GTEX-14ICL	30.94	0.0936219249936122	[17.4,31.5]	0.0936219249936122
GTEX-14JIY	31.56	0.155649040040791	(31.5,37.1]	0.155649040040791
GTEX-14PHW	39.11	0.404876998875794	(37.1,61.6]	0.404876998875794
GTEX-14PII	31.77	0.0418622546303167	(31.5,37.1]	0.0418622546303167
GTEX-14PJ3	34.58	0.0894576077623664	(31.5,37.1]	0.0894576077623664
GTEX-14PJ4	25.12	0.125781334784918	[17.4,31.5]	0.125781334784918
GTEX-14PJ6	28.91	0.180270090688816	[17.4,31.5]	0.180270090688816
GTEX-14PJM	42.42	1.6247565521196	(37.1,61.6]	1.6247565521196
GTEX-14PJO	44.7	0.324710192900228	(37.1,61.6]	0.324710192900228
GTEX-14PK6	38.77	0.0434391707081665	(37.1,61.6]	0.0434391707081665
GTEX-14PKU	28.75	0.0976073420690094	[17.4,31.5]	0.0976073420690094
GTEX-14PKV	28.81	0.093717869790413	[17.4,31.5]	0.093717869790413
GTEX-14PN3	24.74	0.0985432401849181	[17.4,31.5]	0.0985432401849181
GTEX-14PN4	35.43	0.0656265856366907	(31.5,37.1]	0.0656265856366907
GTEX-14PQA	36.87	0.212166246877717	(31.5,37.1]	0.212166246877717
GTEX-14XAO	37.01	0.172345555561729	(31.5,37.1]	0.172345555561729
GTEX-15CHC	33.18	0.157245751259	(31.5,37.1]	0.157245751259
GTEX-15CHQ	36.25	0.185447266667379	(31.5,37.1]	0.185447266667379
GTEX-15CHR	31.52	0.197714019472339	(31.5,37.1]	0.197714019472339
GTEX-15D1Q	48.91	0.135828043722172	(37.1,61.6]	0.135828043722172
GTEX-15DCZ	25.67	0.0230128126623146	[17.4,31.5]	0.0230128126623146
GTEX-15DDE	33.22	0.22049821199138	(31.5,37.1]	0.22049821199138
GTEX-15DZA	38.32	0.112415157972387	(37.1,61.6]	0.112415157972387
GTEX-15EO6	39.04	0.0330519330447971	(37.1,61.6]	0.0330519330447971
GTEX-15ER7	42.1	0.26883694667656	(37.1,61.6]	0.26883694667656
GTEX-15ETS	36.88	0.165969081369026	(31.5,37.1]	0.165969081369026
GTEX-15EU6	32.39	0.175768734719307	(31.5,37.1]	0.175768734719307
GTEX-15FZZ	38.92	0.636360532226302	(37.1,61.6]	0.636360532226302
GTEX-15G19	35.18	0.279751080639384	(31.5,37.1]	0.279751080639384
GTEX-15G1A	28.16	0.139404791219816	[17.4,31.5]	0.139404791219816
GTEX-15RIE	30.1	0.136864640247072	[17.4,31.5]	0.136864640247072
GTEX-15RJ7	27.76	0.168487892988599	[17.4,31.5]	0.168487892988599
GTEX-15RJE	32.42	0.0752741088184454	(31.5,37.1]	0.0752741088184454
GTEX-15SB6	40.39	0.225226100049956	(37.1,61.6]	0.225226100049956
GTEX-15SHU	43.93	0.28209929354326	(37.1,61.6]	0.28209929354326
GTEX-15SHV	35.44	0.752205120632605	(31.5,37.1]	0.752205120632605
GTEX-15UF6	33.58	0.202581185447425	(31.5,37.1]	0.202581185447425
GTEX-169BO	33.42	0.111233519355746	(31.5,37.1]	0.111233519355746
GTEX-16AAH	34.21	0.12652862761365	(31.5,37.1]	0.12652862761365
GTEX-16BQI	35.61	0.352349125245154	(31.5,37.1]	0.352349125245154
GTEX-16GPK	32.6	0.252489968711606	(31.5,37.1]	0.252489968711606
GTEX-16MT8	48.14	0.0469857230560707	(37.1,61.6]	0.0469857230560707
GTEX-16MTA	30.77	0.0110733639055209	[17.4,31.5]	0.0110733639055209
GTEX-16NGA	37.24	0.279239643875414	(37.1,61.6]	0.279239643875414
GTEX-16NPX	29.36	0.0809207537210061	[17.4,31.5]	0.0809207537210061
GTEX-16XZY	34.45	0.274625775363601	(31.5,37.1]	0.274625775363601
GTEX-16XZZ	33.67	0.0237526040148777	(31.5,37.1]	0.0237526040148777
GTEX-16YQH	30.53	0.140575621731393	[17.4,31.5]	0.140575621731393
GTEX-16Z82	36.65	0.330545551212418	(31.5,37.1]	0.330545551212418
GTEX-178AV	37.52	0.871074563635941	(37.1,61.6]	0.871074563635941
GTEX-17EVP	31.74	0.208670418522794	(31.5,37.1]	0.208670418522794
GTEX-17EVQ	56.2	0.19113640467547	(37.1,61.6]	0.19113640467547
GTEX-17F96	36.76	0.240185104953884	(31.5,37.1]	0.240185104953884
GTEX-17F97	37.92	0.481491649273854	(37.1,61.6]	0.481491649273854
GTEX-17F9E	22.41	0.154355048691518	[17.4,31.5]	0.154355048691518
GTEX-17F9Y	27.65	0.238490799324932	[17.4,31.5]	0.238490799324932
GTEX-17HG3	38.92	0.537203878424723	(37.1,61.6]	0.537203878424723
GTEX-17HGU	46.72	0.0848204285491374	(37.1,61.6]	0.0848204285491374
GTEX-17HHE	35.99	0.267165969249954	(31.5,37.1]	0.267165969249954
GTEX-17HHY	30	0.260796772956259	[17.4,31.5]	0.260796772956259
GTEX-17HII	30.01	0.316817374255061	[17.4,31.5]	0.316817374255061
GTEX-17JCI	33.09	0.198376230763734	(31.5,37.1]	0.198376230763734
GTEX-17KNJ	34.65	0.14549701180735	(31.5,37.1]	0.14549701180735
GTEX-17MF6	41.27	0.149372652247838	(37.1,61.6]	0.149372652247838
GTEX-183FY	39.28	0.188541821525963	(37.1,61.6]	0.188541821525963
GTEX-183WM	39.13	0.159603434669012	(37.1,61.6]	0.159603434669012
GTEX-18465	54.61	0.253064391128057	(37.1,61.6]	0.253064391128057
GTEX-18A66	40.16	0.163786197780028	(37.1,61.6]	0.163786197780028
GTEX-18A67	41.72	0.476887100201021	(37.1,61.6]	0.476887100201021
GTEX-18A6Q	33.66	0.159103813371404	(31.5,37.1]	0.159103813371404
GTEX-18A7A	45.83	0.181627400815913	(37.1,61.6]	0.181627400815913
GTEX-18D9A	38.95	0.114611746161591	(37.1,61.6]	0.114611746161591
GTEX-18D9B	31.77	0.16622605616416	(31.5,37.1]	0.16622605616416
GTEX-18D9U	34.33	0.148688014958408	(31.5,37.1]	0.148688014958408
GTEX-18QFQ	33.94	0.29709938079661	(31.5,37.1]	0.29709938079661
GTEX-1A3MV	34.18	0.155854023001947	(31.5,37.1]	0.155854023001947
GTEX-1A8FM	35.53	0.191373715625964	(31.5,37.1]	0.191373715625964
GTEX-1A8G6	37.54	0.328811788302612	(37.1,61.6]	0.328811788302612
GTEX-1A8G7	35.26	0.133404953185106	(31.5,37.1]	0.133404953185106
GTEX-1AMEY	25.31	0.156337632395053	[17.4,31.5]	0.156337632395053
GTEX-1AMFI	33.31	0	(31.5,37.1]	0
GTEX-1AX8Z	40.58	0.0874099229508774	(37.1,61.6]	0.0874099229508774
GTEX-1AX9I	38.11	0.296762968073276	(37.1,61.6]	0.296762968073276
GTEX-1AX9J	21.84	0.22597269097645	[17.4,31.5]	0.22597269097645
GTEX-1AX9K	38.95	0.0376663938924895	(37.1,61.6]	0.0376663938924895
GTEX-1AYCT	29.98	0.34902444004917	[17.4,31.5]	0.34902444004917
GTEX-1B8KE	25.48	0.0721499381066287	[17.4,31.5]	0.0721499381066287
GTEX-1B8KZ	45.93	0.212733297481677	(37.1,61.6]	0.212733297481677
GTEX-1B8L1	31.37	0.115412359234253	[17.4,31.5]	0.115412359234253
GTEX-1B8SF	32.25	0.144800062436713	(31.5,37.1]	0.144800062436713
GTEX-1B8SG	38.6	0.303583338001679	(37.1,61.6]	0.303583338001679
GTEX-1B932	38.4	0.210278128049819	(37.1,61.6]	0.210278128049819
