SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-T8EM	31.78	0.0318335630030854	(31.5,37.1]	0.0318335630030854
GTEX-TKQ1	26.87	0.0466484124304614	[17.4,31.5]	0.0466484124304614
GTEX-TMMY	25.98	0.390641542426	[17.4,31.5]	0.390641542426
GTEX-TSE9	28.61	0.246183440271679	[17.4,31.5]	0.246183440271679
GTEX-U3ZM	26.73	0.131687001182622	[17.4,31.5]	0.131687001182622
GTEX-U3ZN	40.65	0.259397097221988	(37.1,61.6]	0.259397097221988
GTEX-U4B1	26.9	0.099275050252486	[17.4,31.5]	0.099275050252486
GTEX-U8T8	30.01	0.17954112400899	[17.4,31.5]	0.17954112400899
GTEX-UJMC	40.26	0.120940222981218	(37.1,61.6]	0.120940222981218
GTEX-V1D1	33.17	0.272944017147491	(31.5,37.1]	0.272944017147491
GTEX-V955	36.18	0.194937493560085	(31.5,37.1]	0.194937493560085
GTEX-VJYA	44.24	0.1732680249722	(37.1,61.6]	0.1732680249722
GTEX-VUSG	31.38	0.0382608502055514	[17.4,31.5]	0.0382608502055514
GTEX-W5WG	41.96	0.486131196831408	(37.1,61.6]	0.486131196831408
GTEX-W5X1	54.91	0.0834348205871235	(37.1,61.6]	0.0834348205871235
GTEX-WEY5	39.07	0.0579199992702265	(37.1,61.6]	0.0579199992702265
GTEX-WFG7	34.05	0.071884632574288	(31.5,37.1]	0.071884632574288
GTEX-WFG8	36.03	0.0287802663528988	(31.5,37.1]	0.0287802663528988
GTEX-WFJO	30.45	0.172462703240729	[17.4,31.5]	0.172462703240729
GTEX-WH7G	30.34	0.102867003835748	[17.4,31.5]	0.102867003835748
GTEX-WHPG	35.41	0.344596849553435	(31.5,37.1]	0.344596849553435
GTEX-WHSB	37.07	0.0691681425805335	(37.1,61.6]	0.0691681425805335
GTEX-WHSE	21.53	0.383372030658158	[17.4,31.5]	0.383372030658158
GTEX-WK11	37.32	0.281776461533114	(37.1,61.6]	0.281776461533114
GTEX-WL46	34.71	0.261587248132001	(31.5,37.1]	0.261587248132001
GTEX-WOFL	51.57	0.158491001198251	(37.1,61.6]	0.158491001198251
GTEX-WRHU	42.61	0.200438997629063	(37.1,61.6]	0.200438997629063
GTEX-WVLH	36.74	0.538842484460553	(31.5,37.1]	0.538842484460553
GTEX-WWYW	25.98	0.179590336072872	[17.4,31.5]	0.179590336072872
GTEX-WXYG	35.94	0.217613407777639	(31.5,37.1]	0.217613407777639
GTEX-WY7C	37.14	0	(37.1,61.6]	0
GTEX-WYBS	30.82	0.160414501728962	[17.4,31.5]	0.160414501728962
GTEX-WYJK	37.39	0.0762320834969545	(37.1,61.6]	0.0762320834969545
GTEX-WYVS	35.56	0.332307385617859	(31.5,37.1]	0.332307385617859
GTEX-X15G	51.52	0.0760918441314447	(37.1,61.6]	0.0760918441314447
