SAMP2	C22orf43	pheno56.2	EXPR_BIN	PHENOTYPE
GTEX-XAJ8	0.2284	0.278997978776311	[0,0.795]	0.278997978776311
GTEX-XBED	1.535	0.765569613217792	(1.33,5.74]	0.765569613217792
GTEX-XQ8I	4.343	0.312567305221089	(1.33,5.74]	0.312567305221089
GTEX-XUW1	1.779	0.33384779881397	(1.33,5.74]	0.33384779881397
GTEX-XUZC	0.8676	0.249378823716031	(0.795,1.33]	0.249378823716031
GTEX-XV7Q	0.5848	0.431124249039907	[0,0.795]	0.431124249039907
GTEX-XXEK	0.3441	0.261797711706207	[0,0.795]	0.261797711706207
GTEX-Y114	0.6468	0.324146949002795	[0,0.795]	0.324146949002795
GTEX-Y3I4	1.428	0.300371792196617	(1.33,5.74]	0.300371792196617
GTEX-Y5LM	0.9652	0.356846609085813	(0.795,1.33]	0.356846609085813
GTEX-Y8LW	2.511	1.48027101950089	(1.33,5.74]	1.48027101950089
GTEX-Y9LG	0.5918	0.398179754700803	[0,0.795]	0.398179754700803
GTEX-YEC3	1.03	0.378812405561667	(0.795,1.33]	0.378812405561667
GTEX-YECK	0.1065	0.923842794133935	[0,0.795]	0.923842794133935
GTEX-YF7O	0.7977	0.239001062435753	(0.795,1.33]	0.239001062435753
GTEX-YFCO	0.9204	0.23994033395458	(0.795,1.33]	0.23994033395458
GTEX-YJ8A	0.649	1.4789908455824	[0,0.795]	1.4789908455824
GTEX-YJ8O	1.101	0.566020981859868	(0.795,1.33]	0.566020981859868
GTEX-Z93S	1.511	0.481932534793866	(1.33,5.74]	0.481932534793866
GTEX-ZA64	1.102	0.242681922667376	(0.795,1.33]	0.242681922667376
GTEX-ZAB4	1.113	1.73181861321766	(0.795,1.33]	1.73181861321766
GTEX-ZAB5	2.232	0.318600516019735	(1.33,5.74]	0.318600516019735
GTEX-ZAJG	1.989	0.692980412726763	(1.33,5.74]	0.692980412726763
GTEX-ZC5H	1.511	1.11178826310232	(1.33,5.74]	1.11178826310232
GTEX-ZDTS	0.4801	0.163752560272803	[0,0.795]	0.163752560272803
GTEX-ZE7O	1.251	0.203455581598789	(0.795,1.33]	0.203455581598789
GTEX-ZE9C	2.041	0.672051527949961	(1.33,5.74]	0.672051527949961
GTEX-ZF28	1.847	0.273528600837536	(1.33,5.74]	0.273528600837536
GTEX-ZF29	0.8381	0.509129152311822	(0.795,1.33]	0.509129152311822
GTEX-ZF2S	0.429	0.363722298859564	[0,0.795]	0.363722298859564
GTEX-ZG7Y	0.5874	0.341534849744969	[0,0.795]	0.341534849744969
GTEX-ZLFU	0.2058	0.559063201189884	[0,0.795]	0.559063201189884
GTEX-ZLV1	0.2031	0.30272935865852	[0,0.795]	0.30272935865852
GTEX-ZP4G	0.7519	0.256829634591137	[0,0.795]	0.256829634591137
GTEX-ZPCL	0.1627	0.150037455527074	[0,0.795]	0.150037455527074
GTEX-ZPIC	0.794	0.321740216352417	[0,0.795]	0.321740216352417
GTEX-ZPU1	0.7923	0.332947134808246	[0,0.795]	0.332947134808246
GTEX-ZQG8	0.7345	0.23492392563486	[0,0.795]	0.23492392563486
GTEX-ZT9W	0.8994	0.274102179436132	(0.795,1.33]	0.274102179436132
GTEX-ZTSS	0.4463	0.262718420349811	[0,0.795]	0.262718420349811
GTEX-ZTTD	2.171	0.565228696807261	(1.33,5.74]	0.565228696807261
GTEX-ZV6S	0.2793	0.450351715808868	[0,0.795]	0.450351715808868
GTEX-ZVT2	0.7802	0.212288867647101	[0,0.795]	0.212288867647101
GTEX-ZVT3	1.941	0.543536857809464	(1.33,5.74]	0.543536857809464
GTEX-ZVT4	1.04	0.450994272788711	(0.795,1.33]	0.450994272788711
GTEX-ZVZQ	0	0.135422986620017	[0,0.795]	0.135422986620017
GTEX-ZXES	0.5367	0.220002992707395	[0,0.795]	0.220002992707395
GTEX-ZY6K	1.227	0.343794298583032	(0.795,1.33]	0.343794298583032
GTEX-ZYFD	1.747	0.155811720818123	(1.33,5.74]	0.155811720818123
GTEX-ZYFG	1.602	0.233959024145202	(1.33,5.74]	0.233959024145202
GTEX-ZYT6	0.4824	0.288102761138328	[0,0.795]	0.288102761138328
GTEX-ZYY3	3.189	0.203263993250688	(1.33,5.74]	0.203263993250688
GTEX-ZZ64	0.7498	0.354879691093838	[0,0.795]	0.354879691093838
