SMTSD	MacrophageSum.CIB_Abs
Thyroid	0.386362620899853
Lung	1.6129988274319
Breast - Mammary Tissue	0.801333396460238
Prostate	0.228875646205428
Esophagus - Mucosa	0.134685416847943
Artery - Coronary	2.09027858497946
Esophagus - Muscularis	0.47565051175948
Skin - Not Sun Exposed (Suprapubic)	0.216350623637584
Testis	0.0719822116769683
Spleen	1.34151108044032
Adipose - Subcutaneous	0.614732934900809
Skin - Sun Exposed (Lower leg)	0.141332288102291
Nerve - Tibial	0.505432252829615
Muscle - Skeletal	0.0477962103242765
Artery - Tibial	0.121334221155241
Whole Blood	0.089251364649693
Thyroid	0.264594857177598
Heart - Atrial Appendage	0.288369933266337
Skin - Sun Exposed (Lower leg)	1.5602338985544
Pituitary	0.201710875304471
Whole Blood	0
Skin - Sun Exposed (Lower leg)	0.426972478249847
Nerve - Tibial	1.1166869864831
Muscle - Skeletal	0.0804265889931257
Heart - Atrial Appendage	0.046238573674399
Thyroid	0.157423542350666
Adipose - Visceral (Omentum)	2.3892813054242
Esophagus - Gastroesophageal Junction	0.207159215847759
Breast - Mammary Tissue	0.718925713379113
Small Intestine - Terminal Ileum	0.666733448206209
Skin - Not Sun Exposed (Suprapubic)	0.119095852318789
Minor Salivary Gland	0.203585725589602
Pituitary	0.328390258909929
Brain - Cortex	0.212293234090777
Brain - Cerebellum	0.0944052908168187
Whole Blood	0.188128948587933
Skin - Sun Exposed (Lower leg)	0.19669559470379
Adipose - Subcutaneous	0.402327159906576
Nerve - Tibial	0.808812686175434
Artery - Tibial	0.255278204415567
Breast - Mammary Tissue	0.480749503595828
Muscle - Skeletal	0.0383436290358438
Skin - Not Sun Exposed (Suprapubic)	0.124220805359622
Brain - Cerebellum	0.035541524401688
Brain - Cortex	0.0725306666454404
Pituitary	0.372070678549163
Whole Blood	0.156831709848886
Adrenal Gland	0.378230263654401
Thyroid	0.445283297833501
Heart - Left Ventricle	0.0788219879943121
Artery - Aorta	0.649804927885488
Heart - Atrial Appendage	0.100836629198307
Lung	1.34203738707411
Spleen	0.880829791536447
Artery - Coronary	0.781694823605234
Pancreas	0.0599858339615369
Esophagus - Muscularis	0.250017563472266
Esophagus - Mucosa	0.417590470656329
Esophagus - Gastroesophageal Junction	0.809773531531193
Stomach	0.339186908497515
Ovary	0.407544190029367
Uterus	0.35152229911566
Small Intestine - Terminal Ileum	0.448031446009669
Vagina	0.438045429636859
Colon - Transverse	0.728352178208913
Colon - Sigmoid	0.315776961090644
Adipose - Visceral (Omentum)	0.365931144058592
Skin - Not Sun Exposed (Suprapubic)	0.187413922092194
Adipose - Subcutaneous	0.691913213337736
Skin - Sun Exposed (Lower leg)	0.505323670464982
Nerve - Tibial	0.664153032649581
Artery - Tibial	0.171395161110437
Muscle - Skeletal	0.0377554060523068
Whole Blood	0.0772230087192099
Skin - Not Sun Exposed (Suprapubic)	0.128511721638399
Testis	0.441211533302143
Adipose - Visceral (Omentum)	0.921560405845063
Thyroid	0.720048147368829
Liver	0.107462800246002
Heart - Left Ventricle	0.0578733703871007
Heart - Atrial Appendage	0.0783172543530637
Artery - Coronary	1.30052765764149
Esophagus - Gastroesophageal Junction	0.150094472073479
Esophagus - Mucosa	0.107614609156643
Esophagus - Muscularis	0.33286109000629
