aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore	SAMP
0.0472265267555513	0.0127613006699023	0	5.66305250070554e-19	0.213856106902729	2.68021225710409e-19	0	6.61586620563721e-18	0.0245234047767123	3.92554834603917e-18	0.00527058203525254	0	2.90332539950861e-18	0	0	9.4114712255854e-19	0.009897141430536	0.00470994744631189	0.0123476375363075	0	0.0422468768387601	0	0.03445698395672	0	0.0866101083280162	0.0295299415922276	0.00207853818950297	0.0221175213146338	0.00580166632250004	0.00295543047488842	0.0136048510868844	0.0125883594927513	0.00942484521487922	0.016875706586182	0.0175717032216967	0	0.005716665456156	5.02669240463815e-18	0.0480215894145726	2.54035303396601e-19	0	3.9125470286627e-18	0.163362094718481	0.0360374507215691	0.0162680584953811	1.58278579031591e-20	0	0.00194765324990793	1.03082777639202e-18	0.00864048077225772	0	0	0	0.0031489130547891	0	0.0361967340912162	0	0.00484507487271607	0.0020051588673292	0.00563397596341553	5.14328441102616e-18	0.000157075982731418	0	1.05390490130092e-18	0.0214051439762373	0.0708091429183393	0.0922142868945766	GTEX-1117F-0226-SM-5GZZ7
0.0331969027433191	0.098616634015188	4.07766706662132e-18	0.0208701416004257	0.0524929767558574	0	0	2.05857540123623e-18	0.00264579109698149	0.0117312363906445	1.91028177410675e-19	9.66769129763661e-19	3.15706960593529e-18	2.18811569629049e-18	0.0535644570616021	0.000595161613035229	0.0212771569076215	0	0.00805127247964157	0.011524912590748	0.0452054759294351	3.03143879091478e-18	0.00377688939255928	1.27755502942883e-23	0.0249431984611849	0.0436503117815135	0.00111714129469475	0.00925202257498175	0.186326370003135	0	0.0150710385563874	0.0486998655665378	0.0142116248798779	0.0519319111757363	0.0203197633099363	0	0.00273097314848267	1.79662290713492e-19	0.0211625585300927	5.36627193672272e-19	0.113938898315262	0	0.110677741941487	0.0470158218991807	0.0020852927245587	0	0	1.2547081588388e-19	8.21718077879108e-18	0.0420811266122228	0.0356678790915731	4.69997922641412e-20	0	0.00507293352052898	0	0.0393042900060955	0	5.26022455782208e-05	0	0	3.59829042384524e-20	0.0196394086446893	0.00509853091893251	0.0103089736745549	0.143569054255273	0.084382654202904	0.227951708458177	GTEX-111CU-1826-SM-5GZYN
0.156061998616063	0.0100811938910717	0	0	0.0141202322904069	0	0.00659580100341857	6.66238589790176e-19	0.00969074102906768	1.7830051694139e-18	0.0133556482807704	0.00857258607460154	0	0	0.143698492640461	0.0274398172152776	0.000818259702811223	0.00581574858394376	0.0202935446260507	0.0352712362487404	0.0892693200528981	0	0	0	0.0545135233020826	0.0218379294154932	0.00110845601983442	0.176788099378946	0.408847734142075	0	0.0379543907600521	0.00323265263739603	1.21605746058732e-19	0.0102803626017458	0.0242940578868219	0.00486133894235304	0.00126969608494967	0	0.0482451029796543	0	0.00633660893699744	4.78136920386036e-19	0.150357371891203	0.0674078757341809	0.0327899893545544	0	0.00209542777980547	0.000546472758983144	0	0.00100865437752352	0.0114515702805969	0	0.00661159527714324	0	0.00164257587445708	0.0442899572789669	9.15950381546227e-19	0	0.0100384100446829	0.143271681283498	0	0.0150669400981464	0.00474683642363748	3.74915951621563e-18	0.0521690763623603	0.0769320186230262	0.129101094985387	GTEX-111FC-0226-SM-5N9B8
0.33196151357654	0.0422590979550409	0.0265989233195139	0.0634185643099875	0.138448375804702	0	0.0103185112991523	1.07704971512288e-18	0	4.48013104257987e-18	3.19689637577842e-19	4.09344400506223e-19	0	3.17421777630822e-18	0.152930986045882	0	0.045239915719562	0.00146616426360844	0.00367328654930844	0.0667031924494015	0.0304250000003443	0	5.53669011957033e-19	0	0.0341266094108092	2.31803786087607e-19	0.00121220333997028	0.0248707763484202	0.360686214862625	4.44942322270277e-19	0.00839306586115264	0.244153202269255	0.107183565072785	0.150096556665009	0.0124063324499193	1.48607650715797e-19	0.00203666073096953	0.00263921032637369	0.0180470456889354	0	0.121699402863522	7.51817890649778e-19	0.110473322699816	0.0241001698836568	6.80836011143382e-05	0.00554904499412618	0	6.57716310855371e-19	7.30016682482872e-19	0.0796028875192541	1.33653602540691e-17	0	0	1.29766203975688e-19	0	0.0394066867913058	0	0	1.36013333857189e-19	6.3529116881836e-18	0	0.00476441333592782	0.00712544615281405	0.00653015417575042	0.338920462894724	0.0534053536830973	0.392325816577821	GTEX-111VG-2326-SM-5N9BK
0.0420483258464535	0.0910696672921381	4.68630957618384e-19	0	0.0867355165300662	0	0	3.97026136575685e-18	0.00828412680361213	5.86105174000347e-18	0	0	5.83761751762141e-19	6.58400977527793e-18	0.0383157835175917	0	0.00355266839865941	0.00212814483486128	0.00396933889909678	0.00154190513692571	0.122228962080424	3.47079907770599e-19	0.000653641473327559	0	0	0.00757149304327395	0.00136872093538002	0.0843170253627177	0.07754396061562	0	0.059017526487518	0.017095351505719	0.00784622193775366	0.033722437874283	0.00507935480802292	0.00937711538084207	0.000662544731376371	8.37275321582343e-19	0.018157141310808	0	0.0341365662212479	0	0.06775027692416	0.0873713881316823	0.00391458876017778	0	4.38000483694082e-05	0.00281090902966044	0	3.58930373192425e-19	0.00247494242544843	0.00187480449893008	0.028864050195319	0.00136192822847351	0.00104512343345695	0.000711639728775287	0	4.41965976491504e-05	0	0.0113983800944406	0	0.00445201580022052	0	0.0108370274722792	0.0404427244677174	0.106649314686281	0.147092039153998	GTEX-111YS-2426-SM-5GZZQ
0.0224305884644341	0.107831627352085	0	0.00497819127467668	0.0893139915703339	0	0	1.84896046072788e-18	0.00389440763225193	8.78463593535254e-19	0	3.63867784691838e-20	2.35508910655185e-18	7.21764393494755e-18	0.00968671854427247	4.32307741408745e-18	0.0147048492168404	0.00362601250340748	0	2.02217983973802e-19	0.0913412184211413	3.85665573867921e-18	0	6.81128695272728e-19	0	0	0.00095830758538817	0.0432525316711568	0.00141384619845923	1.4580480511863e-19	0.0432202403079046	0.0150395787175123	0.00703704128024261	0.0261408988612436	0.00508581444312109	0.00256772757079859	0.00153552197344818	0	0.00646610528147222	0	0.00578961147645871	2.32030587855082e-18	0.0629312653541854	0.0643672520224189	0.00383125482439132	0	0.000180825133879405	0.00146355465622958	0	0.00955259076266964	0.0366734417438764	0.00691412036630524	0.0103237846691473	0.00277351416014367	0	1.34797967205272e-18	0	0	5.87550674640449e-19	0.0398179375295906	0	0.00531235472295162	0.00169148880286637	0.011956613684736	0.0215711670453323	0.0995864228866134	0.121157589931946	GTEX-1122O-2026-SM-5NQ91
0.064092329427086	0.0759667660195114	0	0	0.121390274626469	0	4.72165989027667e-18	8.51078910330063e-18	0	0	0	0	3.42723987518752e-18	0	0.0288700915463594	1.42859012102001e-18	0.013972532686749	0	1.37156339943148e-18	0.0151629953822647	0.0849461055480101	0	0	0	3.35337981565647e-18	0	0.00292100975410102	0.0270819529912128	0.239179971675209	0	0.0427205656323751	0.041269292687679	0.0260452750892301	0.0435466131182288	0.00491272154430707	0.0132477570324421	0.00267659810869425	0	0	0	0.085559572886006	0	0.144401316660025	0.0678726808251455	0.0057868466612273	9.29019619957952e-19	0	0.00466845847792714	6.69207672909002e-18	0.0122916965536435	6.89869610406471e-19	0.010203333778399	8.40321119181279e-19	0.00191600990019676	1.44629440024304e-18	0.0447976822162327	0	1.33707365968546e-19	0	0.0308490193886263	3.84535925694318e-19	1.33992698767351e-19	3.22779343930713e-19	0.00796167455512944	0.101048693985456	0.0804564357837607	0.181505129769217	GTEX-1128S-2126-SM-5H12U
0.332845857167675	0.0308734942383169	0.00816208376426528	0.000146955929502215	0.128640331669834	0	0.0097997635243854	2.19574354854574e-18	0.0113300671519966	0	0.000551566725426054	0.000924539405563823	0.00679920098012182	3.08133677360562e-18	0.095933516770427	0.0165591148676302	0.0153609365581699	0	0.0123288617417488	0.0456155690259602	0.0568632602796077	0	0	2.38098929754232e-19	0.0985371838599286	0	1.09822599172025e-18	0.115459248618484	0.346663603552854	1.35685433995646e-18	0.0224748408797868	0.0108824551739734	0.00912998407703657	0.0191372770752132	0.0161749371831425	7.03060717063775e-20	0.00797192936239377	5.24571376335628e-18	0.0572696668681485	0	0.0288719790868104	1.89038831493691e-19	0.169622064871286	0.0380268423133809	0.0254459222470763	0	0.000748223490099187	0	0	0.032644885558813	0	2.5403793367671e-19	1.04296741663417e-17	0	1.54739476342062e-18	0.0563208966697236	1.3015449103823e-17	3.31548883221401e-19	0.00252154310870525	0.0708481230619979	4.81936213839026e-19	0.00202055665468504	0.00852574727303087	6.66711040693515e-19	0.0684109572033017	0.0931369691889266	0.161547926392228	GTEX-113IC-0226-SM-5HL5C
0.033478594126582	0.0407898224070423	0	0.0097592000581823	0.0422547850096436	2.61031096001619e-21	1.48873683361222e-18	1.85339629846318e-19	0.0108824501859551	0.0129713249775462	0.0026168602736039	0.00139367341376642	1.61775166196157e-20	0	0	2.11359032967522e-18	0.0169842320303651	0.00802420764013453	8.18320615415886e-19	0.000230485595001592	0.0574519895814835	1.3232875510886e-18	0	1.27219645319618e-19	0	0	5.47660081079547e-20	0.00418599730537469	0.0629710026487229	3.4309571807569e-19	0.0250532588624795	0.0175679724841776	0.012013364781051	0.0389340999153454	0.00237378945014318	0.00164093525178115	0.000758017120339326	0.000606073843943778	0.0214066863610291	0	0.0147547816393557	2.03453601325987e-18	0.143727952842552	0.059277767631508	0.00171433628812704	7.12441990325176e-19	0.000139075659101767	0.00433701590433974	0	0.00461508255458399	0.00462711583239292	0.000702631898981919	0.0133811240073548	0.00441320754853691	6.86243576207707e-19	1.21388375381179e-18	0.00433853881421311	0	1.09271841115512e-18	0.00811115351234981	6.37292925664873e-19	0.0194470956171393	0	0.0063225092735705	0.0336112790299776	0.0491209059942629	0.0827321850242405	GTEX-117YX-2226-SM-5EGJJ
0.096223935354195	0.0296882362251454	0.0264558547589186	0	0.0447184386896571	0	2.94982514892852e-19	1.14648491279465e-17	0.00443468059325377	0	6.74567605351557e-05	0	0	4.25244467313921e-19	0.0711976566092659	0.0270643586815634	1.74656440933746e-19	0.00145953839525479	0.0122783614616585	0.00253264445385048	0.109049401228026	0.00767425405384703	1.41242933262155e-21	0	0.0616258560078843	0.000545517251291939	0	0.178692213234434	0.0654738702838391	1.49470689741133e-19	0.0473471790432343	8.4893799216683e-19	2.14959515605552e-18	0.00230544989559799	0.0115763978815085	0.00180431563645026	0.00174756964768013	0	0.0253116104302005	4.51645491090548e-19	0.000777408198381703	7.25124844133073e-19	0.17296712418048	0.0669785887014914	0.0268402201755153	0	0.0023457368613859	0.00105414526987121	6.2631298467077e-18	0.0500453610045162	1.02348371345675e-19	3.33188219839326e-18	0.0389435254762501	0	2.38225132264395e-18	0	0	1.3181253087219e-20	0.00307491341727281	0.0878370420894484	6.96249067415338e-18	0.00436389222754784	0.0141742806560941	3.03946476224789e-18	0.015743233238306	0.100181746730528	0.115924979968834	GTEX-11DXW-0326-SM-5H11W
