aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore	SAMP
0.0151227671507693	7.80125205865353e-19	0	0.00699432110755961	0.0429513911174642	0	3.01496914484509e-18	1.92976605057169e-20	0.0359522779411587	0.0134168408006899	0.0119991712694222	0	1.69839396797765e-19	0	0.00843821082120877	7.16434919787037e-18	0.00374610506208885	0.0163834118334978	2.63490340535561e-19	1.06792189252717e-19	0.053112496495594	0	0.0288750634703106	0	0	0.0232866241027125	4.64850702346504e-19	0.0220191356761104	0.00991015125083371	0.011157736811203	0.0202028330753296	0.000787712845083107	0	0.011268469552459	0.00379054932261434	0.000997349035974232	0.000225881520712431	0	0.00634279962329886	4.75754358526925e-18	0.00216200375907909	4.06396949194767e-19	0.172370010409037	0.0449678415841678	0.00507896369694603	0.0017714403263947	0.000200421824504797	0.000132316452218046	1.282986454739e-17	0.0577285717673	2.59919660381136e-17	0.0104879054336685	3.82610314732968e-18	0.00216890963838296	4.26040210603759e-19	0	0.000318769283192601	0.00667643589665686	0	0	0	0.000907555264395601	0.0168188163408875	0.00552106488947817	0.00924460232436947	0.026556248247797	0.0358008505721665	GTEX-1117F-0426-SM-5EGHI
0.00653532052339132	9.20285984421664e-21	1.12853683362519e-18	0.0132255876161267	0.0511606267142003	0	0	2.25004547778399e-18	0.00404289389404847	0.000200851505756343	0	0	2.5580467508018e-19	6.06712961472972e-18	0.00231898908162305	0	0.00182260952870908	0.0184250494265846	0	1.26613506530478e-20	0.00737831091861516	1.13453898478519e-18	0.00461491912072492	0	0	0	0	0.00557815452979295	0.0210674552531938	0	0.00231564476815485	0.00473496890313933	5.44044659313213e-19	0.0303833946758175	0.0127978074652456	0	0.0003477963326534	0	0.0146558927092025	1.92851089627182e-18	0	0	0.0702005402378052	0.0142427512891128	0.00875166982474618	0.0026384896255613	0.000204500369851023	0	0	0.0560803082631679	0.0365077801755294	0.000247729476976255	0	0.00828654789739098	0	1.93919356591911e-18	0.00571281133830846	0.00178921824438707	0.002633342559877	0.05013611876436	0.00083943089112012	0.0098831688182228	0.0321876285737357	0.0150215752058591	0.0205055759896744	0.00368915545930758	0.024194731448982	GTEX-111CU-2026-SM-5GZZC
0.00044665861333677	0.00255416247529574	0.038104702420843	0	0.00236518367027082	7.18784758332562e-19	0	2.71117072316459e-18	0.0102454068936871	0.00073459825880977	0.0032956945307993	0	1.98986547680605e-18	3.54405222217569e-19	0.0119376102679002	0.0207269732511002	0	0.00860433635452509	0	0.000325961349486992	0.0330699113383526	0.00129868044514509	0.00921319891645031	0	0.0385135578315402	9.68020246533551e-19	0	0.113322632090895	0.0363199636267854	0.00225410251649097	0.0160474378092534	0	0	0.0135453849692756	0.00172252253497422	0.00174956322866582	0.000783005504260289	0	0.0376617930245965	0	0	3.81089767187594e-18	0.0486713911988744	0.0338680013427832	0.0120097259379005	7.81637180446314e-19	0.00119802994763284	0	3.67136070074241e-18	0.0261283367723066	0.0308555308967954	0.0259966664813554	0.0736503293924168	0.00149462806608202	0	0	1.20391906188127e-18	0	0.0190262142012271	0.106182772843031	1.93315013163656e-18	0.00966751930717688	0.0216323483178119	0	0.0022314428864042	0.0370688158225943	0.0393002587089985	GTEX-111FC-0326-SM-5GZZ1
0.028941281748979	0.00229558807739856	0.0154706207241421	1.11731603666251e-18	0	0	7.14279330463456e-19	0	0	0.00281326631135697	0.00653852098903576	5.60681637105445e-19	0	6.4949763798539e-19	0.00936000162483223	0.00522544097149798	0.000100024821957346	0.0231642059148612	0.00185753134519454	0.00253114554487605	0.0157050132600552	0.00730743019262317	0.00957985019552679	7.04436646652836e-05	0.0680107560367981	0.00579638769145946	0	0.100525884994415	0.0688105667889859	0.00155121075614471	0.00556689245742432	0.000870592054960464	0.000242888099177699	0.0144754265707487	0.00133130222403897	0.000606399020111706	0.00060248250301729	0	0.0373998762856741	0.0076879669580506	1.46314595676103e-18	3.04039211203213e-19	0.0218362094327884	0.016520413150485	0.0199450610833116	2.94125469895652e-19	0.00110761334966321	0	0	0.05148092823815	0.00809488095160879	0.0170940236356243	0.0754469143026938	0.0027104924158276	1.59489786087658e-19	0	2.47210696549183e-18	0.00020324048017582	0.0218798299079567	0.111157134432166	2.34720335568214e-18	0.00968670572590636	0.0356724315889255	0.016418166262303	0.00802698001099911	0.0430056786871259	0.0510326586981251	GTEX-111VG-2626-SM-5GZY2
0.0318929465224162	0.00180853298668978	0.00414351909167409	0.0022215593752209	0.0300365064095275	7.19395449461816e-20	1.79930936593548e-18	0	2.49610212428786e-20	3.20741404438409e-19	0.00266664294415362	0	0	0	0.00819553443284233	0.0378133328146082	3.63699721605547e-19	0.0112468742120376	0	0.000219307992540017	0.0218650667979767	1.90840925313369e-18	0.00419611586022212	0	0.00275016156448822	0.0103741941745641	0.000798448398651308	0.0350400635157339	0.0279448942485128	9.21394210767187e-20	0.00608175258628751	0.00483615562892334	0.00477006924519057	0.0243427733072937	0.00649922148269102	0.000178852288499889	0.000335090781940847	0	0.0121257540142697	0.00311529162446413	5.97963484247029e-19	0	0.0582099541535139	0.0202966469280728	0.00897538769697889	2.39030624664454e-19	0.00110519495349148	9.8141753132723e-05	5.20148253121798e-18	0.0345099655946541	0.00729536709178223	0.0136150087914899	0.0521998864813271	0.00528451486371285	6.61840150025687e-21	0	0.00369892965359585	0.00175708981834557	0.00818436030565712	0.060369194541394	1.34357377353229e-19	0	0.023925442374882	0.0194819432911668	0.009249590821672	0.0132118806745774	0.0224614714962494	GTEX-111YS-2326-SM-5987L
0.0345991307575045	0.00194073602664517	3.02781461564866e-18	0.0138845747243624	0.0321683829645759	1.65318851439391e-21	1.51153870844477e-19	2.21223642343222e-18	0.00683371163020792	0	2.48769760679448e-20	1.42404566581536e-19	6.09499718435332e-18	1.99514983077451e-18	0.00761254230458957	0.0120405243846189	0.000686239332469468	0.0237846247286336	0.00258955085308828	0.000356175164931014	0.00301609353249064	0	0.00393593773779878	0	0.00163433659018495	0.00507244616702722	0.000402234967072509	0.015726904731694	0.063607960794565	3.95134407732407e-19	9.10310850060197e-21	0.0037526073085125	0.00194947457432346	0.0196465523996468	0.0119667992730584	0	0.000657723319502279	1.17856495913461e-18	0.00963110629238011	6.18771007228399e-19	0	0	0.12765175087504	0.00627908732181216	0.00464496793120969	3.52824458988348e-20	0.000191084036407256	1.20176482430406e-19	6.84433619267274e-18	0.096847232276701	0	0.00163934278639044	0.0255565804380178	0.0123612659444967	0	1.1741976747044e-18	0	0.00137441443886428	0.00516004871766689	0.0239270174004376	4.22101205152675e-18	0.0058815829313072	0.017687904957764	0.0138312249553586	0.0199734376472429	0.00329558307466038	0.0232690207219033	GTEX-1122O-2426-SM-5GIDN
0.0061583690860379	0.00215074959453591	4.03894725077784e-18	0.00217643767147047	0.04418012569237	1.88172213136769e-19	0	0	0.0148313185818198	3.27144352661355e-19	4.70648576784979e-19	1.81190378872058e-18	6.64232079139162e-19	0	0.00239975595310378	9.36311513644723e-19	0	0.0128996340419615	0	0	0.030113248510841	0	0.00739987658347871	0	0	1.11797330686817e-19	4.40549277360828e-05	0.0199522513695438	0.0210061221492197	0.00091047804995489	0.0113504167531964	0	7.52731656718006e-19	0.0160453421894063	0.00463211102065598	0.000347882328063863	0.00190082040742442	0	0.0214848854834824	0.000997084655222766	2.31019205940952e-18	0	0.109861434052397	0.0332779462583345	0.005137418421869	0	0.000518150052559831	0	1.29605290888474e-19	0.0852530167243663	0.00772826462796607	0.0074469094625191	0.00900130952121014	0.005649684211957	5.35114341067834e-18	0	1.75322028508522e-18	0.00154623850412519	0.00131057070806936	0.0432765839997093	1.52193879717016e-18	0.00900402126043086	0.0305334899214996	1.57070835698799e-19	0.00453903246141764	0.0161319990526884	0.0206710315141061	GTEX-1128S-2426-SM-5H11B
0.000260835399367096	0.0020637737976692	0.0114237608734782	0	5.50300316311042e-19	2.90715821813221e-19	8.75828494717139e-19	2.80758967093345e-18	1.76957805108357e-18	1.78760897590658e-18	0	3.33197430060036e-18	0	4.12149718447713e-19	0.0136239322214256	0.00421645046692908	3.29290454304747e-18	0.0107193751640108	1.0166212652393e-19	4.08392929468334e-19	0.038117635930411	0	0.00715843201064702	0	0.00745740137876389	0	0	0.100252333727274	0.0114879177287622	0.00201797042046976	0.0200503860912361	0	1.83278732434352e-18	0.00688603542086831	6.64781270368795e-20	0.00195992551091423	0.00195564961227546	0	0.0318768853345442	0.00341215748308985	1.66901101130347e-19	1.99778731680616e-20	0.163116783895639	0.030053814833318	0.00633293221928937	0	0.0012305100822979	0	5.52261374736528e-19	0.0466782440151223	0.000432556354737042	0.00209850902015264	0.0718410235023417	0	0	0	1.3137327854897e-17	0	0.00418979998877854	0.130603711950492	0	0	0.0275909949485024	0.00904899767851007	4.88906500260393e-18	0.023819405553422	0.023819405553422	GTEX-113JC-2726-SM-5EGIS
0.0114930332331016	0.00694605953257594	0.0141440912440567	0	0.0195127354169431	3.19916591777541e-20	7.07205874617039e-19	0	5.21884035827193e-18	1.46250411902748e-18	0.000775764176258983	2.12323107866885e-18	0	0	0.00516859027135674	0.00648909579450956	1.29137172489152e-18	0.0147585222556223	0.00136368456064689	0	0.00469672616527876	0.00353936270832924	0.00857164957944925	0	0.0393128303373468	7.51079957039983e-19	1.18515100744671e-19	0.104514537436098	0.0112682351487664	0.0010221369911195	0.00335437538654405	0	3.12604616277737e-19	0.00385585106806954	0.00532047660287909	0.000198825839963613	0.000274149185017519	0	0.0427264141647435	0	0	0	0.119024449787002	0.00766264775382369	0.00989535920888443	0	0.0014962034997327	9.43626133826716e-20	2.11401381205506e-18	0.0509601392685652	0.00721671930793461	0	0.0365847367917342	0.00164720431232665	4.33250179210667e-18	0	0	0	0.0122985805571794	0.108892182581702	7.40076960341877e-18	0.00323633367406924	0.0385142671799035	4.50909396789525e-22	0.00590655954080556	0.0254778080176007	0.0313843675584063	GTEX-117XS-2526-SM-5H11G
7.71412479588241e-19	0.0054323922784727	5.88261383983435e-19	0	0.01842635178687	0	0	0	2.50551714155845e-18	2.30086538353512e-18	0.00340803603735688	6.80199860044007e-18	1.96759283921813e-18	2.07767724993625e-19	0.00406143614768636	1.76180509442458e-18	0	0.0159049742272483	2.22818471208076e-19	0	0.00995028840414009	0.00113701236406105	0.00321686357375877	0	0	0	8.22337243983654e-23	0.089398985280865	0.022917333494488	0.000112717061894649	0.00601866109754806	0	0	0.00922976300061682	0.00183028901612271	1.12945289513367e-05	0.00064023655815309	0	0.0226849150078617	3.61134969138655e-19	6.50928353098931e-20	0	0.0431034693287237	0.0106922667109605	0.0145854699997702	0	0.00110209147706186	0	0	0.0467368759906127	0.015847673387575	0.006848586344816	0.0728687310830647	0.00283811583631025	1.63118197302721e-19	0	0	1.06508915552382e-20	0.00856311322704836	0.179865693708333	9.69980874524085e-18	1.05994750036021e-18	0.0523660754315456	0.0058638895382546	0.00197820092012251	0.0076913403413064	0.00966954126142891	GTEX-117YW-2426-SM-5Q5AE
